Customer,Preference1,Preference2,Preference3,Preference4,Preference5,Preference6,Preference7,Preference8,Preference9,Preference10,Customer Type
383,#488,#980,#961,#1287,#790,#299,#968,#1084,#548,#340,1
384,#1245,#1265,#1030,#901,#957,#996,#262,#245,#385,#755,1
385,#079,#210,#468,#1235,#323,#833,#077,#125,#1250,#1096,2
386,#299,#231,#1033,#1224,#1225,#455,#649,#398,#725,#211,1
387,#1239,#039,#1139,#275,#987,#696,#977,#605,#1020,#492,2
388,#1135,#435,#790,#108,#1229,#805,#134,#681,#944,#848,2
389,#1202,#661,#584,#1268,#1288,#1176,#220,#669,#726,#812,4
390,#1134,#1176,#269,#1024,#902,#1301,#998,#037,#229,#916,1
391,#668,#109,#317,#1285,#112,#990,#689,#919,#010,#483,2
392,#438,#689,#829,#609,#1245,#124,#060,#595,#042,#1097,2
393,#1080,#1220,#1002,#1094,#1051,#259,#1160,#909,#1091,#482,2
394,#210,#1270,#650,#552,#1218,#1289,#523,#505,#521,#205,2
395,#1293,#1192,#1125,#1215,#617,#820,#1143,#1162,#221,#523,2
396,#335,#514,#952,#637,#914,#607,#1023,#654,#279,#760,2
397,#356,#165,#434,#702,#1086,#152,#1269,#464,#1187,#1218,1
398,#1236,#219,#460,#1272,#148,#103,#794,#266,#1032,#871,3
399,#417,#830,#472,#1288,#279,#225,#1076,#190,#373,#121,1
400,#272,#701,#044,#989,#312,#060,#699,#415,#004,#639,2
401,#085,#181,#500,#339,#268,#108,#996,#508,#614,#1001,1
402,#143,#1240,#153,#303,#843,#595,#1040,#154,#524,#1033,1
403,#264,#990,#414,#776,#333,#559,#1034,#318,#583,#633,1
404,#999,#1052,#1046,#1186,#815,#958,#1040,#314,#025,#630,1
405,#642,#405,#285,#315,#1139,#550,#1216,#1198,#599,#1275,4
406,#1099,#440,#094,#863,#987,#1223,#287,#334,#1248,#1204,5
407,#1288,#803,#762,#829,#1156,#772,#544,#776,#718,#939,1
408,#722,#1142,#612,#938,#252,#142,#087,#1223,#576,#357,3
409,#343,#935,#213,#764,#280,#824,#367,#460,#694,#1124,3
410,#990,#761,#026,#760,#1256,#433,#1284,#1179,#1174,#167,4
411,#1215,#913,#1087,#674,#450,#943,#394,#295,#058,#231,3
412,#1260,#245,#767,#1058,#239,#288,#553,#759,#492,#407,2
413,#449,#942,#1279,#477,#416,#615,#601,#281,#1110,#270,2
414,#150,#615,#249,#270,#661,#108,#008,#1054,#1022,#978,4
415,#258,#1159,#408,#1272,#259,#023,#1161,#131,#685,#180,4
416,#385,#866,#341,#1036,#623,#929,#695,#1055,#149,#680,1
417,#599,#644,#1222,#570,#128,#184,#1247,#337,#235,#1190,1
418,#698,#1134,#1193,#1173,#824,#438,#215,#1237,#1249,#1187,1
419,#1009,#1127,#778,#131,#1130,#022,#148,#1255,#571,#694,2
420,#354,#1247,#937,#1130,#316,#837,#898,#045,#780,#1007,1
421,#1271,#1222,#080,#567,#410,#618,#531,#229,#1163,#1024,2
422,#202,#066,#011,#352,#1294,#654,#829,#1249,#055,#592,3
423,#596,#749,#944,#971,#444,#1139,#961,#701,#814,#306,2
424,#100,#255,#260,#240,#621,#234,#378,#524,#1108,#1223,2
425,#022,#1052,#1044,#811,#1082,#828,#152,#524,#229,#418,1
426,#170,#951,#1284,#1042,#926,#1167,#473,#969,#987,#324,2
427,#1272,#836,#798,#324,#491,#004,#255,#952,#724,#263,4
428,#1103,#933,#1163,#195,#1180,#1194,#004,#321,#324,#1069,1
429,#972,#1264,#1068,#1132,#945,#487,#085,#670,#124,#1168,1
430,#909,#296,#163,#822,#510,#330,#257,#416,#185,#244,4
431,#1110,#1269,#604,#437,#1121,#1176,#225,#226,#743,#814,1
432,#1038,#527,#215,#1158,#1202,#654,#1247,#231,#359,#208,1
433,#281,#379,#071,#1190,#535,#608,#1268,#444,#388,#469,1
434,#833,#1260,#962,#1117,#721,#1125,#458,#708,#128,#863,4
435,#004,#149,#1050,#217,#1023,#208,#065,#1082,#519,#1066,4
436,#162,#339,#424,#610,#1249,#836,#360,#145,#850,#814,2
437,#1103,#326,#230,#829,#489,#1016,#210,#1223,#073,#543,3
438,#151,#115,#1144,#929,#444,#357,#051,#740,#570,#105,3
439,#878,#755,#1297,#410,#1296,#1231,#288,#647,#1011,#815,3
440,#1298,#438,#894,#1270,#565,#770,#831,#256,#508,#1174,4
441,#467,#1301,#629,#779,#744,#764,#171,#1032,#145,#1191,2
442,#837,#500,#1204,#075,#509,#1230,#864,#746,#1180,#302,4
443,#646,#1180,#1221,#237,#1249,#829,#1176,#1117,#723,#061,4
444,#845,#452,#172,#271,#481,#374,#881,#1258,#531,#1049,2
445,#866,#584,#509,#1014,#921,#697,#366,#814,#379,#1020,5
446,#854,#657,#1210,#641,#613,#430,#1302,#396,#760,#382,6
447,#058,#295,#770,#497,#670,#1003,#065,#782,#1276,#1055,2
448,#713,#388,#1024,#539,#051,#479,#003,#868,#390,#375,6
449,#1019,#199,#505,#637,#118,#1265,#1228,#705,#851,#121,1
450,#552,#1122,#136,#1069,#1231,#635,#787,#693,#1052,#105,3
451,#962,#075,#720,#104,#326,#947,#755,#065,#1017,#370,3
452,#1207,#548,#1153,#475,#885,#392,#117,#133,#358,#1147,2
453,#1236,#758,#387,#171,#1248,#581,#580,#558,#360,#849,4
454,#1114,#378,#980,#331,#545,#582,#170,#701,#334,#1094,1
455,#394,#1192,#481,#502,#983,#1193,#1054,#115,#584,#1259,6
456,#733,#216,#1044,#182,#144,#812,#091,#1287,#382,#783,3
457,#710,#1089,#1179,#1144,#405,#1177,#063,#259,#1025,#668,3
458,#1295,#674,#458,#1037,#138,#155,#655,#1249,#1053,#882,3
459,#630,#374,#706,#412,#1162,#688,#207,#344,#1202,#1104,2
460,#642,#1149,#485,#1208,#362,#276,#881,#569,#1104,#1235,1
461,#1225,#230,#819,#591,#1216,#252,#084,#488,#340,#1100,2
462,#762,#1160,#849,#932,#1016,#191,#885,#023,#1297,#798,1
463,#1092,#264,#936,#1096,#549,#910,#518,#041,#584,#139,1
464,#1173,#287,#152,#822,#686,#199,#548,#770,#304,#781,1
465,#1154,#058,#610,#484,#1290,#362,#740,#1298,#057,#100,1
466,#667,#1054,#979,#953,#747,#561,#380,#847,#141,#606,1
467,#603,#1088,#519,#1146,#1097,#431,#487,#066,#491,#282,2
468,#1120,#155,#477,#605,#569,#1132,#547,#342,#407,#982,1
469,#1173,#283,#552,#1139,#850,#659,#666,#1031,#763,#051,2
470,#274,#1060,#845,#314,#288,#918,#440,#733,#159,#1005,4
471,#1212,#566,#340,#307,#1035,#432,#398,#979,#259,#557,3
472,#589,#1233,#574,#744,#1202,#981,#626,#267,#539,#051,1
473,#560,#745,#293,#197,#1095,#460,#447,#754,#219,#490,2
474,#977,#1129,#820,#366,#200,#983,#042,#065,#385,#985,3
475,#202,#1083,#983,#303,#351,#930,#803,#998,#577,#245,1
476,#1063,#908,#801,#214,#1009,#1065,#1083,#613,#021,#247,1
477,#940,#302,#731,#321,#155,#607,#1133,#813,#750,#1264,2
478,#1197,#681,#463,#1213,#008,#502,#1282,#1301,#484,#855,1
479,#470,#1241,#009,#1165,#1178,#528,#926,#108,#1019,#889,1
480,#082,#819,#262,#231,#225,#1056,#1030,#617,#104,#726,3
481,#738,#760,#217,#544,#344,#023,#590,#373,#1168,#906,5
482,#1149,#457,#1061,#802,#520,#884,#1281,#1143,#1190,#366,2
483,#1156,#029,#1172,#618,#303,#623,#165,#594,#952,#499,2
484,#685,#382,#708,#119,#1235,#670,#473,#701,#040,#114,3
485,#877,#828,#757,#014,#511,#1260,#076,#770,#196,#1126,3
486,#590,#269,#1287,#712,#1210,#621,#1118,#1239,#461,#835,6
487,#335,#1257,#722,#1200,#160,#082,#166,#232,#1221,#042,3
488,#510,#1135,#122,#557,#322,#423,#664,#1051,#1089,#473,3
489,#1037,#131,#394,#807,#043,#217,#754,#163,#409,#286,4
490,#283,#1227,#175,#841,#521,#650,#1291,#109,#1151,#218,6
491,#510,#891,#855,#898,#538,#897,#179,#851,#999,#405,1
492,#143,#502,#086,#1204,#1124,#1185,#391,#711,#750,#009,2
493,#1240,#966,#1112,#1243,#423,#492,#1131,#1015,#1272,#641,7
494,#759,#082,#709,#845,#1278,#176,#127,#633,#417,#968,2
495,#1191,#092,#409,#542,#819,#970,#579,#736,#1165,#293,2
496,#785,#717,#1153,#774,#936,#824,#611,#703,#416,#026,4
497,#484,#663,#318,#034,#936,#1174,#1188,#713,#402,#1106,1
498,#094,#708,#244,#453,#1241,#1142,#733,#1120,#1164,#280,3
499,#1204,#037,#651,#200,#316,#856,#526,#783,#1216,#411,1
500,#787,#697,#1186,#1285,#1017,#881,#126,#753,#570,#355,2
